feature,importance
remaining_duration_months,81
required_progress_velocity_pct_per_month,45
cost_overrun_pct,39
sector,23
ministry,22
prev_physical_progress_pct,16
rolling_expenditure_growth_3m,15
expected_progress_pct,11
velocity_gap_pct_points,11
planned_duration_months,11
efficiency_gap_change_1m,11
implementing_agency,11
state,10
physical_progress_pct,10
cumulative_expenditure_cr,8
prev_completion_revised_flag,8
prev_cost_overrun_pct,6
schedule_slippage_months,6
expenditure_growth_change_1m,5
expenditure_growth_pct,5
cost_overrun_trend_1m,5
progress_gap_enhanced_pct,3
revised_cost_cr,3
expenditure_original_cost_pct,3
progress_gap_change_1m,2
progress_expenditure_gap_pct,2
rolling_progress_velocity_3m,2
snapshots_so_far,1
expenditure_revised_cost_pct,1
project_age_months,1
expenditure_progress_efficiency_gap,1
completion_date_revised_flag,1
remaining_progress_pct,1
rolling_cost_growth_3m,1
original_cost_cr,0
progress_velocity_pct_per_month,0
monthly_revised_cost_change_cr,0
monthly_cost_growth_pct,0
monthly_progress_change_pct,0
monthly_expenditure_change_cr,0
progress_trend_1m,0
progress_velocity_change_1m,0
