feature,importance
cost_overrun_pct,62
implementing_agency,23
expenditure_original_cost_pct,21
velocity_gap_pct_points,13
revised_cost_cr,12
cost_overrun_trend_1m,8
prev_cost_overrun_pct,8
rolling_expenditure_growth_3m,8
project_age_months,7
cumulative_expenditure_cr,7
expenditure_revised_cost_pct,6
physical_progress_pct,5
remaining_duration_months,4
expenditure_growth_change_1m,2
expenditure_progress_efficiency_gap,2
required_progress_velocity_pct_per_month,1
original_cost_cr,1
progress_expenditure_gap_pct,1
state,1
schedule_slippage_months,1
ministry,1
planned_duration_months,0
monthly_cost_growth_pct,0
monthly_revised_cost_change_cr,0
remaining_progress_pct,0
completion_date_revised_flag,0
prev_completion_revised_flag,0
prev_physical_progress_pct,0
expenditure_growth_pct,0
progress_velocity_pct_per_month,0
monthly_progress_change_pct,0
monthly_expenditure_change_cr,0
rolling_progress_velocity_3m,0
progress_trend_1m,0
progress_gap_change_1m,0
progress_gap_enhanced_pct,0
expected_progress_pct,0
snapshots_so_far,0
rolling_cost_growth_3m,0
efficiency_gap_change_1m,0
progress_velocity_change_1m,0
sector,0
