feature,importance
remaining_duration_months,27
cumulative_expenditure_cr,18
expected_progress_pct,13
planned_duration_months,13
required_progress_velocity_pct_per_month,10
implementing_agency,9
progress_gap_change_1m,8
velocity_gap_pct_points,7
snapshots_so_far,5
progress_gap_enhanced_pct,5
ministry,4
expenditure_original_cost_pct,4
physical_progress_pct,4
expenditure_revised_cost_pct,4
project_age_months,3
rolling_expenditure_growth_3m,2
expenditure_growth_change_1m,2
progress_expenditure_gap_pct,2
state,2
remaining_progress_pct,2
monthly_expenditure_change_cr,1
schedule_slippage_months,1
expenditure_progress_efficiency_gap,1
prev_cost_overrun_pct,1
original_cost_cr,0
revised_cost_cr,0
cost_overrun_pct,0
cost_overrun_trend_1m,0
prev_physical_progress_pct,0
progress_velocity_pct_per_month,0
expenditure_growth_pct,0
monthly_progress_change_pct,0
monthly_revised_cost_change_cr,0
monthly_cost_growth_pct,0
completion_date_revised_flag,0
prev_completion_revised_flag,0
rolling_cost_growth_3m,0
progress_trend_1m,0
rolling_progress_velocity_3m,0
efficiency_gap_change_1m,0
progress_velocity_change_1m,0
sector,0
