report_month,ministry,sector,sl_no,project_name,implementing_agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,expenditure_original_cost_pct,expenditure_revised_cost_pct,progress_expenditure_gap_pct,project_age_months,planned_duration_months,remaining_duration_months,remaining_progress_pct,schedule_slippage_months,completion_date_revised_flag,monthly_progress_change_pct,monthly_expenditure_change_cr,monthly_revised_cost_change_cr,monthly_cost_growth_pct,progress_velocity_pct_per_month,expenditure_growth_pct,required_progress_velocity_pct_per_month,velocity_gap_pct_points,report_month_dt,approval_date_dt,start_date_dt,original_completion_date_dt,revised_completion_date_dt,max_available_horizon,gap_to_next_snapshot,prev_cost_overrun_pct,prev_physical_progress_pct,prev_completion_revised_flag,cost_overrun_trend_1m,progress_trend_1m,rolling_progress_velocity_3m,rolling_cost_growth_3m,rolling_expenditure_growth_3m,snapshots_so_far,next_cost_overrun_pct,next_completion_revised_flag,next_schedule_slippage_months,y_cost_risk_1m,y_schedule_risk_1m,y_combined_risk_1m,y_cost_overrun_actual_next,expected_progress_pct,progress_gap_enhanced_pct,prev_overall_risk_proxy,prev_progress_gap_enhanced_pct,progress_gap_change_1m,prev_expenditure_pct,expenditure_progress_efficiency_gap,prev_expenditure_progress_efficiency_gap,efficiency_gap_change_1m,prev_progress_velocity,progress_velocity_change_1m,prev_expenditure_growth,expenditure_growth_change_1m,financial_efficiency_risk,progress_risk,data_quality_score
2026-03,Ministry of Coal,Coal,32,GEVRA OC [70 MTY] (South Eastern Coalfields Limited [SECL]),400424,060100093,Chhattisgarh,03/2016,03/2016,03/2023,03/2027,11816.4,11816.4,6905.46,78.48,0.0,58.4396262821,58.4396262821,-20.0403737179,119.98,83.98,11.99,21.52,48.0,1,,,,,,,1.79482902419,,2026-03-01,2016-03-01,2016-03-01,2023-03-01,2027-03-01,0,,,,,,,,,,1,,,,,,,,90.9090909090909,12.429090909090903,,,,,-20.040373717900003,,,,,,,0.415268651163484,0.4403532299371663,0.4354461576702535
2026-06,Department of Telecommunications,Telecommunication,1800,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,108841,PAN India,08/2023,06/2025,06/2028,,3742.0,3742.0,435.31,0.0,0.0,11.6330839123,11.6330839123,11.6330839123,11.99,36.01,,100.0,,0,,,,,,,,,2026-06-01,2023-08-01,2025-06-01,2028-06-01,,1,1.0,,,,,,,,,1,0.0,0.0,,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,,,,,11.6330839123,,,,,,,0.460045909040297,0.6230902614403351,0.3187794910035868
2026-07,Department of Telecommunications,Telecommunication,1714,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,108841,PAN India,08/2023,06/2025,06/2028,,3742.0,3742.0,435.31,8.15,0.0,11.6330839123,11.6330839123,3.48308391235,12.98,36.01,,91.85,,0,8.15,0.0,0.0,0.0,8.15,0.0,,,2026-07-01,2023-08-01,2025-06-01,2028-06-01,,0,,0.0,0.0,0.0,0.0,8.15,8.15,0.0,0.0,2,,,,,,,,36.11111111111111,27.96111111111111,,33.33333333333333,-5.37222222222222,11.6330839123,3.4830839122999997,11.6330839123,-8.15,,,,,0.3534336195211331,0.5761283136432807,0.48908840452012164
2026-07,Department of Telecommunications,Telecommunication,1715,Amended BharatNet Program - HR,Department of Telecommunications,124199,PAN India,08/2023,03/2026,03/2029,,837.0,837.0,83.68,0.0,0.0,9.99761051374,9.99761051374,9.99761051374,4.01,36.01,,100.0,,0,,,,,,,,,2026-07-01,2023-08-01,2026-03-01,2029-03-01,,0,,,,,,,,,,1,,,,,,,,11.11111111111111,11.11111111111111,,,,,9.99761051374,,,,,,,0.45233695102093296,0.42883194583721396,0.3187794910035868
2026-07,Department of Telecommunications,Telecommunication,1716,Amended BharatNet Program - PB,Department of Telecommunications,171218,PAN India,08/2023,02/2025,02/2028,,1245.0,1245.0,0.0,26.58,0.0,0.0,0.0,-26.58,16.92,35.98,,73.42,,0,,,,,,,,,2026-07-01,2023-08-01,2025-02-01,2028-02-01,,0,,,,,,,,,,1,,,,,,,,47.22222222222222,20.642222222222223,,,,,-26.58,,,,,,,0.311812385315,0.5121493373993926,0.3187794910035868
2026-07,Department of Telecommunications,Telecommunication,1717,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,175860,PAN India,06/2023,05/2025,05/2028,,4943.0,4943.0,562.13,8.4,0.0,11.3722435768,11.3722435768,2.97224357678,14.0,36.01,,91.6,,0,,,,,,,,,2026-07-01,2023-06-01,2025-05-01,2028-05-01,,0,,,,,,,,,,1,,,,,,,,38.88888888888889,30.488888888888894,,,,,2.9722435768000004,,,,,,,0.43431422175556894,0.5982251970431357,0.3187794910035868
2026-02,Ministry of Power,Electricity Generation,176,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]),602096,180100221,"Multi-States (Arunachal Pradesh, Assam)",09/2003,01/2005,09/2010,05/2026,6285.33,26075.5,26023.91,97.0,314.862863207,414.042063026,99.8021514448,2.80215144484,253.01,67.98,2.92,3.0,187.96,1,,,,,,,1.02739726027,,2026-02-01,2003-09-01,2005-01-01,2010-09-01,2026-05-01,1,1.0,,,,,,,,,1,314.862863207,1.0,187.96,1.0,0.0,1.0,314.862863207,98.828125,1.828125,,,,,317.042063026,,,,,,,0.7688894703240596,0.3476835697801914,0.4354461576702535
2026-03,Ministry of Power,Electricity Generation,174,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]),602096,180100221,"Multi-States (Arunachal Pradesh, Assam)",09/2003,01/2005,09/2010,05/2026,6285.33,26075.5,26119.27,97.57,314.862863207,415.55924669,100.167858718,2.59785871795,253.93,67.98,2.0,2.43,187.96,1,0.57,95.36,0.0,0.0,0.57,0.366432254031,1.215,-0.645,2026-03-01,2003-09-01,2005-01-01,2010-09-01,2026-05-01,0,,314.862863207,97.0,1.0,0.0,0.5699999999999932,0.57,0.0,0.366432254031,2,,,,,,,,99.21875,1.6487500000000068,,1.828125,-0.17937499999999318,414.042063026,317.98924669,317.042063026,0.947183664000022,,,,,0.8031591926286766,0.39306350426018744,0.6057550711867883
2026-07,Department of Telecommunications,Telecommunication,1718,Amended BharatNet Program - WB & ANI,Department of Telecommunications,210914,PAN India,08/2023,02/2025,02/2028,,1674.0,1674.0,223.41,15.13,0.0,13.3458781362,13.3458781362,-1.7841218638,16.92,35.98,,84.87,,0,,,,,,,,,2026-07-01,2023-08-01,2025-02-01,2028-02-01,,0,,,,,,,,,,1,,,,,,,,47.22222222222222,32.09222222222222,,,,,-1.7841218638000012,,,,,,,0.42253246216562285,0.6122409345139008,0.3187794910035868
2026-02,Ministry of Railways,Railways,631,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km] (Central Railway [CR] - II),705356,220100181,Maharashtra,01/1999,10/2002,03/2026,03/2026,2538.67,4957.27,5107.68,98.0,95.2703581009,201.195113977,103.034129672,5.03412967218,280.05,280.97,0.92,2.0,0.0,0,,,,,,,2.17391304348,,2026-02-01,1999-01-01,2002-10-01,2026-03-01,2026-03-01,1,1.0,,,,,,,,,1,95.2703581009,0.0,0.0,1.0,0.0,1.0,95.2703581009,99.644128113879,1.644128113879006,,,,,103.195113977,,,,,,,0.7712170872877048,0.3460751381473576,0.4354461576702535
2026-03,Ministry of Railways,Railways,614,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km] (Central Railway [CR] - II),705356,220100181,Maharashtra,01/1999,10/2002,03/2026,03/2026,2538.67,4957.27,5133.5,98.0,95.2703581009,202.212181969,103.554980866,5.55498086648,280.97,280.97,0.0,2.0,0.0,0,0.0,25.82,0.0,0.0,0.0,0.505513266297,,,2026-03-01,1999-01-01,2002-10-01,2026-03-01,2026-03-01,0,,95.2703581009,98.0,0.0,0.0,0.0,0.0,0.0,0.505513266297,2,,,,,,,,100.0,2.0,,1.644128113879006,0.35587188612099396,201.195113977,104.212181969,103.195113977,1.017067991999994,,,,,0.806636606875053,0.34918603643993423,0.5474217378534549
2026-02,Ministry of Railways,Railways,616,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho (North Central Railway)",705480,220100232,Madhya Pradesh,01/2007,03/1998,03/2027,12/2027,8914.0,8914.0,6777.67,74.0,0.0,76.0339914741,76.0339914741,2.03399147409,335.08,347.99,21.95,26.0,9.03,1,,,,,,,1.18451025057,,2026-02-01,2007-01-01,1998-03-01,2027-03-01,2027-12-01,1,1.0,,,,,,,,,1,0.0,1.0,9.03,0.0,0.0,0.0,0.0,93.8375350140056,19.837535014005596,,,,,2.033991474100006,,,,,,,0.5463504383554812,0.5051150642248934,0.4354461576702535
2026-03,Ministry of Railways,Railways,600,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho (North Central Railway)",705480,220100232,Madhya Pradesh,01/2007,03/1998,03/2027,12/2027,8914.0,8914.0,6777.67,74.0,0.0,76.0339914741,76.0339914741,2.03399147409,336.0,347.99,21.03,26.0,9.03,1,0.0,0.0,0.0,0.0,0.0,0.0,1.23632905373,-1.23632905373,2026-03-01,2007-01-01,1998-03-01,2027-03-01,2027-12-01,0,,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,2,,,,,,,,94.11764705882352,20.117647058823522,,19.837535014005596,0.2801120448179262,76.0339914741,2.033991474100006,2.033991474100006,0.0,,,,,0.5463504383554812,0.5353825821980053,0.6057550711867883
2026-02,Ministry of Railways,Railways,552,Khagaria-Kusheshwar Asthan [42Km] new line project (East Central Railway [ECR] - I),705364,220100257,Bihar,04/2019,12/1998,12/2024,03/2027,614.0,1384.16,490.43,55.0,125.433224756,79.8745928339,35.4315975032,-19.5684024968,326.05,312.02,12.91,45.0,26.94,1,,,,,,,3.48567002324,,2026-02-01,2019-04-01,1998-12-01,2024-12-01,2027-03-01,1,1.0,,,,,,,,,1,125.433224756,1.0,26.94,1.0,0.0,1.0,125.433224756,96.16519174041298,41.16519174041298,,,,,24.874592833899996,,,,,,,0.6456125331069242,0.6915534244393997,0.4354461576702535
2026-03,Ministry of Railways,Railways,536,Khagaria-Kusheshwar Asthan [42Km] new line project (East Central Railway [ECR] - I),705364,220100257,Bihar,04/2019,12/1998,12/2024,03/2027,614.0,1384.16,490.46,55.6,125.433224756,79.8794788274,35.4337648827,-20.1662351173,326.97,312.02,11.99,44.4,26.94,1,0.6,0.03,0.0,0.0,0.6,0.00611708092898,3.70308590492,-3.10308590492,2026-03-01,2019-04-01,1998-12-01,2024-12-01,2027-03-01,0,,125.433224756,55.0,1.0,0.0,0.6000000000000014,0.6,0.0,0.00611708092898,2,,,,,,,,96.46017699115043,40.86017699115043,,41.16519174041298,-0.305014749262547,79.8745928339,24.279478827400006,24.874592833899996,-0.5951140064999905,,,,,0.6254096599052572,0.6563177108164407,0.6057550711867883
2026-02,Ministry of Railways,Railways,542,Kotapalli - Narasapur New Line (South Central Railway [SCR] - II),705436,220100265,Andhra Pradesh,03/2009,09/2013,03/2028,03/2028,2501.0,2501.0,1383.96,29.0,0.0,55.3362654938,55.3362654938,26.3362654938,149.03,173.96,24.94,71.0,0.0,0,,,,,,,2.84683239775,,2026-02-01,2009-03-01,2013-09-01,2028-03-01,2028-03-01,1,1.0,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.63218390804597,56.632183908045974,,,,,26.3362654938,,,,,,,0.5951414762973358,0.7721041864654146,0.4354461576702535
2026-03,Ministry of Railways,Railways,526,Kotapalli - Narasapur New Line (South Central Railway [SCR] - II),705436,220100265,Andhra Pradesh,03/2009,09/2013,03/2028,03/2028,2501.0,2501.0,1417.27,30.0,0.0,56.6681327469,56.6681327469,26.6681327469,149.95,173.96,24.02,70.0,0.0,0,1.0,33.31,0.0,0.0,1.0,2.40686146998,2.91423813489,-1.91423813489,2026-03-01,2009-03-01,2013-09-01,2028-03-01,2028-03-01,0,,0.0,29.0,0.0,0.0,1.0,1.0,0.0,2.40686146998,2,,,,,,,,86.20689655172413,56.20689655172413,,56.632183908045974,-0.4252873563218458,55.3362654938,26.6681327469,26.3362654938,0.3318672531000004,,,,,0.6083609265398101,0.7779931875504247,0.6057550711867883
2026-02,Ministry of Railways,Railways,771,Tarakeshwar-Bishnupur New Line [82.47 km] (Eastern Railway [ER] - I),400273,220100272,West Bengal,03/2001,02/2008,03/2019,02/2026,1189.0,1542.0,1365.49,96.0,29.6888141295,114.843566022,88.5531776913,-7.44682230869,216.02,132.93,0.0,4.0,83.09,1,,,,,,,,,2026-02-01,2001-03-01,2008-02-01,2019-03-01,2026-02-01,1,1.0,,,,,,,,,1,29.6888141295,1.0,83.09,1.0,0.0,1.0,29.6888141295,100.0,4.0,,,,,18.843566022000005,,,,,,,0.6972925682163478,0.3666692848442152,0.37711282433692017
2026-03,Ministry of Railways,Railways,754,Tarakeshwar-Bishnupur New Line [82.47 km] (Eastern Railway [ER] - I),400273,220100272,West Bengal,03/2001,02/2008,03/2019,02/2026,1189.0,1542.0,1367.58,96.68,29.6888141295,115.019343987,88.6887159533,-7.99128404669,216.94,132.93,-0.92,3.32,83.09,1,0.68,2.09,0.0,0.0,0.68,0.153058608997,,,2026-03-01,2001-03-01,2008-02-01,2019-03-01,2026-02-01,0,,29.6888141295,96.0,1.0,0.0,0.6800000000000068,0.68,0.0,0.153058608997,2,,,,,,,,100.0,3.319999999999993,,4.0,-0.6800000000000068,114.843566022,18.339343986999992,18.843566022000005,-0.5042220350000122,,,,,0.6778812166540191,0.3607249803867596,0.5474217378534549
2026-02,Ministry of Railways,Railways,719,Khurda-Bolangir New Broad Gauge Rail Link [301km] (East Coast Railway [ECoR] - II),705358,220100284,Odisha,03/1994,03/2001,12/2026,12/2026,3792.0,5089.0,5464.43,91.0,34.2035864979,144.104166667,107.377284339,16.3772843388,299.07,309.03,9.95,9.0,0.0,0,,,,,,,0.904522613065,,2026-02-01,1994-03-01,2001-03-01,2026-12-01,2026-12-01,1,1.0,,,,,,,,,1,34.2035864979,0.0,0.0,1.0,0.0,1.0,34.2035864979,96.76375404530745,5.763754045307451,,,,,53.10416666699999,,,,,,,0.7549237685421899,0.3820873598932979,0.4354461576702535
