report_month,ministry,sector,sl_no,project_name,implementing_agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,expenditure_original_cost_pct,expenditure_revised_cost_pct,progress_expenditure_gap_pct,project_age_months,planned_duration_months,remaining_duration_months,remaining_progress_pct,schedule_slippage_months,completion_date_revised_flag,monthly_progress_change_pct,monthly_expenditure_change_cr,monthly_revised_cost_change_cr,monthly_cost_growth_pct,progress_velocity_pct_per_month,expenditure_growth_pct,required_progress_velocity_pct_per_month,velocity_gap_pct_points,report_month_dt,approval_date_dt,start_date_dt,original_completion_date_dt,revised_completion_date_dt,max_available_horizon,gap_to_next_snapshot,prev_cost_overrun_pct,prev_physical_progress_pct,prev_completion_revised_flag,cost_overrun_trend_1m,progress_trend_1m,rolling_progress_velocity_3m,rolling_cost_growth_3m,rolling_expenditure_growth_3m,snapshots_so_far,next_cost_overrun_pct,next_completion_revised_flag,next_schedule_slippage_months,y_cost_risk_1m,y_schedule_risk_1m,y_combined_risk_1m,y_cost_overrun_actual_next
2026-03,Ministry of Coal,Coal,32,GEVRA OC [70 MTY] (South Eastern Coalfields Limited [SECL]),400424,060100093,Chhattisgarh,03/2016,03/2016,03/2023,03/2027,11816.4,11816.4,6905.46,78.48,0.0,58.4396262821,58.4396262821,-20.0403737179,119.98,83.98,11.99,21.52,48.0,1,,,,,,,1.79482902419,,2026-03-01,2016-03-01,2016-03-01,2023-03-01,2027-03-01,0,,,,,,,,,,1,,,,,,,
2026-06,Department of Telecommunications,Telecommunication,1800,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,108841,PAN India,08/2023,06/2025,06/2028,,3742.0,3742.0,435.31,0.0,0.0,11.6330839123,11.6330839123,11.6330839123,11.99,36.01,,100.0,,0,,,,,,,,,2026-06-01,2023-08-01,2025-06-01,2028-06-01,,1,1.0,,,,,,,,,1,0.0,0.0,,0.0,0.0,0.0,0.0
2026-07,Department of Telecommunications,Telecommunication,1714,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,108841,PAN India,08/2023,06/2025,06/2028,,3742.0,3742.0,435.31,8.15,0.0,11.6330839123,11.6330839123,3.48308391235,12.98,36.01,,91.85,,0,8.15,0.0,0.0,0.0,8.15,0.0,,,2026-07-01,2023-08-01,2025-06-01,2028-06-01,,0,,0.0,0.0,0.0,0.0,8.15,8.15,0.0,0.0,2,,,,,,,
2026-07,Department of Telecommunications,Telecommunication,1715,Amended BharatNet Program - HR,Department of Telecommunications,124199,PAN India,08/2023,03/2026,03/2029,,837.0,837.0,83.68,0.0,0.0,9.99761051374,9.99761051374,9.99761051374,4.01,36.01,,100.0,,0,,,,,,,,,2026-07-01,2023-08-01,2026-03-01,2029-03-01,,0,,,,,,,,,,1,,,,,,,
2026-07,Department of Telecommunications,Telecommunication,1716,Amended BharatNet Program - PB,Department of Telecommunications,171218,PAN India,08/2023,02/2025,02/2028,,1245.0,1245.0,0.0,26.58,0.0,0.0,0.0,-26.58,16.92,35.98,,73.42,,0,,,,,,,,,2026-07-01,2023-08-01,2025-02-01,2028-02-01,,0,,,,,,,,,,1,,,,,,,
2026-07,Department of Telecommunications,Telecommunication,1717,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,175860,PAN India,06/2023,05/2025,05/2028,,4943.0,4943.0,562.13,8.4,0.0,11.3722435768,11.3722435768,2.97224357678,14.0,36.01,,91.6,,0,,,,,,,,,2026-07-01,2023-06-01,2025-05-01,2028-05-01,,0,,,,,,,,,,1,,,,,,,
2026-02,Ministry of Power,Electricity Generation,176,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]),602096,180100221,"Multi-States (Arunachal Pradesh, Assam)",09/2003,01/2005,09/2010,05/2026,6285.33,26075.5,26023.91,97.0,314.862863207,414.042063026,99.8021514448,2.80215144484,253.01,67.98,2.92,3.0,187.96,1,,,,,,,1.02739726027,,2026-02-01,2003-09-01,2005-01-01,2010-09-01,2026-05-01,1,1.0,,,,,,,,,1,314.862863207,1.0,187.96,1.0,0.0,1.0,314.862863207
2026-03,Ministry of Power,Electricity Generation,174,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]),602096,180100221,"Multi-States (Arunachal Pradesh, Assam)",09/2003,01/2005,09/2010,05/2026,6285.33,26075.5,26119.27,97.57,314.862863207,415.55924669,100.167858718,2.59785871795,253.93,67.98,2.0,2.43,187.96,1,0.57,95.36,0.0,0.0,0.57,0.366432254031,1.215,-0.645,2026-03-01,2003-09-01,2005-01-01,2010-09-01,2026-05-01,0,,314.862863207,97.0,1.0,0.0,0.5699999999999932,0.57,0.0,0.366432254031,2,,,,,,,
2026-07,Department of Telecommunications,Telecommunication,1718,Amended BharatNet Program - WB & ANI,Department of Telecommunications,210914,PAN India,08/2023,02/2025,02/2028,,1674.0,1674.0,223.41,15.13,0.0,13.3458781362,13.3458781362,-1.7841218638,16.92,35.98,,84.87,,0,,,,,,,,,2026-07-01,2023-08-01,2025-02-01,2028-02-01,,0,,,,,,,,,,1,,,,,,,
2026-02,Ministry of Railways,Railways,631,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km] (Central Railway [CR] - II),705356,220100181,Maharashtra,01/1999,10/2002,03/2026,03/2026,2538.67,4957.27,5107.68,98.0,95.2703581009,201.195113977,103.034129672,5.03412967218,280.05,280.97,0.92,2.0,0.0,0,,,,,,,2.17391304348,,2026-02-01,1999-01-01,2002-10-01,2026-03-01,2026-03-01,1,1.0,,,,,,,,,1,95.2703581009,0.0,0.0,1.0,0.0,1.0,95.2703581009
