report_month,project_code,project_name,ministry,sector,state,implementing_agency,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,schedule_slippage_months,completion_date_revised_flag,T_time_risk,C_cost_risk,P_progress_risk,F_financial_risk,ML_combined_risk,current_risk_score_0_100,risk_velocity_1m,risk_acceleration_1m,emerging_risk_score_0_100,DPHIS_score,risk_tier,previous_risk_tier,risk_transition,rapid_deterioration_flag,data_quality_score,confidence_score,schedule_risk_1m_decision_threshold,cost_risk_1m_decision_threshold,combined_risk_1m_decision_threshold,progress_gap_enhanced_pct,expenditure_progress_efficiency_gap,required_progress_velocity_pct_per_month,progress_velocity_pct_per_month,velocity_gap_pct_points,expenditure_growth_pct,efficiency_gap_change_1m
2026-03,060100093,GEVRA OC [70 MTY] (South Eastern Coalfields Limited [SECL]),Ministry of Coal,Coal,Chhattisgarh,400424,11816.4,11816.4,6905.46,78.48,0.0,48.0,1,0.33996632391076603,0.012366920619101485,0.4403532299371663,0.415268651163484,0.2783018435476533,27.123023813698293,,,53.63879648070237,32.95649380043919,Low,,New/First observation,0,0.4354461576702535,,0.33999999999999997,0.1,0.27,12.429090909090903,-20.040373717900003,1.79482902419,,,,
2026-06,108841,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,Telecommunication,PAN India,Department of Telecommunications,3742.0,3742.0,435.31,0.0,0.0,,0,0.34474825948552273,0.010340009874417251,0.6230902614403351,0.460045909040297,0.2544110161271221,32.10241878784515,,,53.63879648070237,36.84042188027374,Watch,,New/First observation,0,0.3187794910035868,,0.33999999999999997,0.1,0.27,33.33333333333333,11.6330839123,,,,,
2026-07,108841,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,Telecommunication,PAN India,Department of Telecommunications,3742.0,3742.0,435.31,8.15,0.0,,0,0.34474825948552273,0.009563043481918403,0.5761283136432807,0.3534336195211331,0.24149168308899002,29.77434154076153,-2.3280772470836233,,19.6723494673324,27.55190328460712,Low,Watch,Watch -> Low,0,0.48908840452012164,60.098247833185845,0.33999999999999997,0.1,0.27,27.96111111111111,3.4830839122999997,,8.15,,0.0,-8.15
2026-07,124199,Amended BharatNet Program - HR,Department of Telecommunications,Telecommunication,PAN India,Department of Telecommunications,837.0,837.0,83.68,0.0,0.0,,0,0.341503744034934,0.009936173748691034,0.42883194583721396,0.45233695102093296,0.2507298976952104,27.04101517812448,,,53.63879648070237,32.89252706469161,Low,,New/First observation,0,0.3187794910035868,,0.33999999999999997,0.1,0.27,11.11111111111111,9.99761051374,,,,,
2026-07,171218,Amended BharatNet Program - PB,Department of Telecommunications,Telecommunication,PAN India,Department of Telecommunications,1245.0,1245.0,0.0,26.58,0.0,,0,0.34474825948552273,0.009936173748691034,0.5121493373993926,0.311812385315,0.2507298976952104,27.81603977363728,,,53.63879648070237,33.4970462491916,Watch,,New/First observation,0,0.3187794910035868,,0.33999999999999997,0.1,0.27,20.642222222222223,-26.58,,,,,
2026-07,175860,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,Telecommunication,PAN India,Department of Telecommunications,4943.0,4943.0,562.13,8.4,0.0,,0,0.34474825948552273,0.010502635692283857,0.5982251970431357,0.43431422175556894,0.259607243547584,31.254335216706203,,,53.63879648070237,36.17891669478536,Watch,,New/First observation,0,0.3187794910035868,,0.33999999999999997,0.1,0.27,30.488888888888894,2.9722435768000004,,,,,
2026-02,180100221,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]),Ministry of Power,Electricity Generation,"Multi-States (Arunachal Pradesh, Assam)",602096,6285.33,26075.5,26023.91,97.0,314.862863207,187.96,1,0.35046163810946923,0.979608184967673,0.3476835697801914,0.7688894703240596,0.9856397093788839,61.21127718695407,,,53.63879648070237,59.5453314315787,Medium,,New/First observation,0,0.4354461576702535,,0.33999999999999997,0.1,0.27,1.828125,317.042063026,1.02739726027,,,,
2026-03,180100221,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]),Ministry of Power,Electricity Generation,"Multi-States (Arunachal Pradesh, Assam)",602096,6285.33,26075.5,26119.27,97.57,314.862863207,187.96,1,0.385333374517632,0.9834539473023963,0.39306350426018744,0.8031591926286766,0.9897414172671677,63.87050627372813,2.6592290867740616,,85.22694833658039,68.56892352755563,High,Medium,Medium -> High,0,0.6057550711867883,58.18986581770673,0.33999999999999997,0.1,0.27,1.6487500000000068,317.98924669,1.215,0.57,-0.645,0.366432254031,0.947183664000022
2026-07,210914,Amended BharatNet Program - WB & ANI,Department of Telecommunications,Telecommunication,PAN India,Department of Telecommunications,1674.0,1674.0,223.41,15.13,0.0,,0,0.34474825948552273,0.009936173748691034,0.6122409345139008,0.42253246216562285,0.2507298976952104,31.425530470006212,,,53.63879648070237,36.312448992359364,Watch,,New/First observation,0,0.3187794910035868,,0.33999999999999997,0.1,0.27,32.09222222222222,-1.7841218638000012,,,,,
2026-02,220100181,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km] (Central Railway [CR] - II),Ministry of Railways,Railways,Maharashtra,705356,2538.67,4957.27,5107.68,98.0,95.2703581009,0.0,0,0.364243822423187,0.979608184967673,0.3460751381473576,0.7712170872877048,0.9861139759276196,61.610179427924884,,,53.63879648070237,59.856475179535934,Medium,,New/First observation,0,0.4354461576702535,,0.33999999999999997,0.1,0.27,1.644128113879006,103.195113977,2.17391304348,,,,
